BarCode	RawReads	Filtered
80_mock1	20399	20399
80_mock2	20399	20399
80_mock3	20399	20399
80_mock4	20399	20399
80_mock5	20399	20399
85_mock1	40000	40000
85_mock2	40000	40000
85_mock3	40000	40000
85_mock4	40000	40000
85_mock5	40000	40000
90_mock1	40000	40000
90_mock2	40000	40000
90_mock3	40000	40000
90_mock4	40000	40000
90_mock5	40000	40000
95_mock1	40000	40000
95_mock2	40000	40000
95_mock3	40000	40000
95_mock4	40000	40000
95_mock5	40000	40000
